Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
5266;780;3;0;0;0;0;.00nan;0;0
5266;869;20;72;18;1;17;.944;3600000;0
5266;1238;3;41;32;6;26;.813;3600000;0
5226;108;1;0;0;0;0;.00nan;0;0
5226;388;6;0;0;0;0;.00nan;0;0
5226;732;6;72;40;5;35;.875;3600000;0
5226;1388;1;100;33;1;32;.970;3600000;0
5524;963;26;50;31;5;26;.839;3578950;0
5524;978;7;63;31;4;27;.871;3600000;0
5524;1129;26;0;0;0;0;.00nan;0;0
5524;1230;7;0;0;0;0;.00nan;0;0
5225;385;10;77;27;2;25;.926;3600000;0
5225;967;25;67;25;3;22;.880;3578750;0
5225;1001;10;0;0;0;0;.00nan;0;0
5225;1234;25;0;0;0;0;.00nan;0;0
5248;106;17;0;0;0;0;.00nan;0;0
5248;396;12;100;53;1;52;.981;3600000;0
5248;695;17;54;20;3;17;.850;3590550;0
5248;808;12;0;0;0;0;.00nan;0;0
5245;734;22;0;0;0;0;.00nan;0;0
5245;780;3;82;34;3;31;.912;3600000;0
5245;1223;22;81;39;4;35;.897;3579900;0
5245;1238;3;0;0;0;0;.00nan;0;0
5235;220;21;0;0;0;0;.00nan;0;0
5235;388;6;84;29;2;27;.931;3600000;0
5235;732;6;0;0;0;0;.00nan;0;0
5235;1207;21;54;32;5;27;.844;3600000;0
5246;127;16;78;24;2;22;.917;3600000;0
5246;951;8;89;48;4;44;.917;3529800;0
5246;983;16;0;0;0;0;.00nan;0;0
5246;1665;8;0;0;0;0;.00nan;0;0
5264;106;17;0;0;0;0;.00nan;0;0
5264;695;17;81;32;3;29;.906;3600000;0
5264;774;20;72;42;5;37;.881;3564700;0
5264;869;20;0;0;0;0;.00nan;0;0
6154;354;11;77;52;6;46;.885;3232600;0
6154;674;11;34;4;2;2;.500;367400;0
6154;801;9;0;0;0;0;.00nan;0;0
6154;999;9;64;26;3;23;.885;3600000;0
6145;274;18;0;0;0;0;.00nan;0;0
6145;396;12;35;34;7;27;.794;3337600;0
6145;748;18;50;24;4;20;.833;3600000;0
6145;808;12;50;1;0;1;1.000;262400;0
5812;385;10;98;35;1;34;.971;3600000;0
5812;963;26;29;29;7;22;.759;3600000;0
5812;1001;10;0;0;0;0;.00nan;0;0
5812;1129;26;0;0;0;0;.00nan;0;0
5297;188;27;77;32;3;29;.906;3600000;0
5297;206;27;0;0;0;0;.00nan;0;0
5297;951;8;0;0;0;0;.00nan;0;0
5297;1665;8;60;32;5;27;.844;3530250;0
5230;108;1;75;38;4;34;.895;3600000;0
5230;220;21;71;19;1;18;.947;1240350;0
5230;1207;21;56;26;4;22;.846;2329450;0
5230;1388;1;0;0;0;0;.00nan;0;0
5386;967;25;71;35;4;31;.886;3900000;0
5386;978;7;0;0;0;0;.00nan;0;0
5386;1230;7;74;40;4;36;.900;3900000;0
5386;1234;25;0;0;0;0;.00nan;0;0
5223;6;31;0;0;0;0;.00nan;0;0
5223;383;19;0;0;0;0;.00nan;0;0
5223;668;31;75;37;4;33;.892;3567100;0
5223;911;19;67;24;3;21;.875;3600000;0
5763;72;0;84;42;4;38;.905;3600000;0
5763;978;7;57;35;5;30;.857;3568700;0
5763;1230;7;0;0;0;0;.00nan;0;0
5763;2135;0;0;0;0;0;.00nan;0;0
5229;6;31;93;41;3;38;.927;3600000;0
5229;668;31;0;0;0;0;.00nan;0;0
5229;801;9;0;0;0;0;.00nan;0;0
5229;999;9;74;37;4;33;.892;3562200;0
5273;127;16;0;0;0;0;.00nan;0;0
5273;801;9;83;30;2;28;.933;3600000;0
5273;983;16;91;29;1;28;.966;3600000;0
5273;999;9;0;0;0;0;.00nan;0;0
5241;220;21;0;0;0;0;.00nan;0;0
5241;734;22;90;34;2;32;.941;3600000;0
5241;1207;21;57;35;5;30;.857;3591400;0
5241;1223;22;0;0;0;0;.00nan;0;0
5320;188;27;63;17;2;15;.882;3600000;0
5320;206;27;0;0;0;0;.00nan;0;0
5320;745;15;0;0;0;0;.00nan;0;0
5320;890;15;59;36;5;31;.861;3600000;0
6146;774;20;0;0;0;0;.00nan;0;0
6146;869;20;81;40;4;36;.900;3600000;0
6146;963;26;0;0;0;0;.00nan;0;0
6146;1129;26;86;25;1;24;.960;3600000;0
5403;106;17;0;0;0;0;.00nan;0;0
5403;274;18;39;1;1;0;.000;403000;0
5403;695;17;86;36;3;33;.917;3600000;0
5403;748;18;50;36;6;30;.833;3197000;0
5279;108;1;0;0;0;0;.00nan;0;0
5279;731;4;68;26;3;23;.885;3600000;0
5279;995;4;0;0;0;0;.00nan;0;0
5279;1388;1;95;50;4;46;.920;3540200;0
5276;396;12;0;0;0;0;.00nan;0;0
5276;408;29;68;29;3;26;.897;3581400;0
5276;808;12;96;37;2;35;.946;3600000;0
5276;1231;29;0;0;0;0;.00nan;0;0
5305;951;8;34;22;5;17;.773;2052550;0
5305;967;25;42;29;6;23;.793;3600000;0
5305;1234;25;0;0;0;0;.00nan;0;0
5305;1665;8;32;14;4;10;.714;1547450;0
5272;388;6;0;0;0;0;.00nan;0;0
5272;396;12;84;24;1;23;.958;3600000;0
5272;732;6;100;27;0;27;1.000;3600000;0
5272;808;12;0;0;0;0;.00nan;0;0
5359;72;0;61;42;6;36;.857;3600000;0
5359;188;27;75;26;2;24;.923;3600000;0
5359;206;27;0;0;0;0;.00nan;0;0
5359;2135;0;0;0;0;0;.00nan;0;0
5243;220;21;0;0;0;0;.00nan;0;0
5243;774;20;55;21;3;18;.857;3600000;0
5243;869;20;0;0;0;0;.00nan;0;0
5243;1207;21;91;47;4;43;.915;3600000;0
5257;108;1;0;0;0;0;.00nan;0;0
5257;127;16;70;39;5;34;.872;3707300;0
5257;983;16;0;0;0;0;.00nan;0;0
5257;1388;1;73;35;4;31;.886;3707300;0
5371;731;4;0;0;0;0;.00nan;0;0
5371;745;15;82;34;3;31;.912;3600000;0
5371;890;15;0;0;0;0;.00nan;0;0
5371;995;4;49;33;6;27;.818;3600000;0
5308;274;18;63;24;3;21;.875;3600000;0
5308;383;19;0;0;0;0;.00nan;0;0
5308;748;18;0;0;0;0;.00nan;0;0
5308;911;19;32;21;5;16;.762;3572750;0
5265;385;10;56;32;5;27;.844;3545400;0
5265;780;3;0;0;0;0;.00nan;0;0
5265;1001;10;0;0;0;0;.00nan;0;0
5265;1238;3;57;27;4;23;.852;3600000;0
5258;408;29;74;42;5;37;.881;3600000;0
5258;734;22;0;0;0;0;.00nan;0;0
5258;1223;22;92;33;2;31;.939;3600000;0
5258;1231;29;0;0;0;0;.00nan;0;0
5290;385;10;0;0;0;0;.00nan;0;0
5290;967;25;100;25;0;25;1.000;3600000;0
5290;1001;10;90;34;2;32;.941;3563200;0
5290;1234;25;0;0;0;0;.00nan;0;0
5268;354;11;43;9;2;7;.778;1203850;0
5268;674;11;23;22;6;16;.727;2396150;0
5268;780;3;74;24;2;22;.917;3600000;0
5268;1238;3;0;0;0;0;.00nan;0;0
5295;72;0;83;28;2;26;.929;3600000;0
5295;801;9;0;0;0;0;.00nan;0;0
5295;999;9;77;39;4;35;.897;3588850;0
5295;2135;0;0;0;0;0;.00nan;0;0
6108;734;22;55;33;5;28;.848;3555750;0
6108;745;15;0;0;0;0;.00nan;0;0
6108;890;15;73;35;4;31;.886;3600000;0
6108;1223;22;0;0;0;0;.00nan;0;0
6095;108;1;0;0;0;0;.00nan;0;0
6095;731;4;32;38;8;30;.789;3600000;0
6095;995;4;0;0;0;0;.00nan;0;0
6095;1388;1;94;18;0;18;1.000;3600000;0
6164;106;17;61;35;5;30;.857;3600000;0
6164;274;18;0;0;0;0;.00nan;0;0
6164;695;17;0;0;0;0;.00nan;0;0
6164;748;18;48;41;7;34;.829;3531600;0
5267;127;16;0;0;0;0;.00nan;0;0
5267;951;8;32;26;6;20;.769;2967250;0
5267;983;16;84;36;3;33;.917;3600000;0
5267;1665;8;46;5;1;4;.800;632750;0
5300;383;19;100;35;1;34;.971;3600000;0
5300;911;19;0;0;0;0;.00nan;0;0
5300;978;7;0;0;0;0;.00nan;0;0
5300;1230;7;59;28;4;24;.857;3546200;0
5244;6;31;0;0;0;0;.00nan;0;0
5244;668;31;100;40;1;39;.975;3600000;0
5244;774;20;0;0;0;0;.00nan;0;0
5244;869;20;50;25;4;21;.840;3600000;0
5304;188;27;0;0;0;0;.00nan;0;0
5304;206;27;52;30;5;25;.833;3600000;0
5304;963;26;0;0;0;0;.00nan;0;0
5304;1129;26;76;24;2;22;.917;3600000;0
5262;396;12;99;24;0;24;1.000;3062050;0
5262;408;29;0;0;0;0;.00nan;0;0
5262;808;12;36;9;3;6;.667;537950;0
5262;1231;29;37;29;6;23;.793;3600000;0
5252;6;31;52;37;6;31;.838;2536450;0
5252;668;31;50;13;2;11;.846;1016000;0
5252;967;25;0;0;0;0;.00nan;0;0
5252;1234;25;50;30;5;25;.833;3600000;0
5291;108;1;0;0;0;0;.00nan;0;0
5291;801;9;0;0;0;0;.00nan;0;0
5291;999;9;85;29;2;27;.931;3600000;0
5291;1388;1;64;33;4;29;.879;3562450;0
6160;106;17;0;0;0;0;.00nan;0;0
6160;396;12;0;0;0;0;.00nan;0;0
6160;695;17;67;25;3;22;.880;3600000;0
6160;808;12;92;47;4;43;.915;3569200;0
5479;731;4;0;0;0;0;.00nan;0;0
5479;963;26;100;38;1;37;.974;3600000;0
5479;995;4;46;22;4;18;.818;3600000;0
5479;1129;26;0;0;0;0;.00nan;0;0
5249;388;6;34;10;3;7;.700;560150;0
5249;732;6;62;26;3;23;.885;2993000;0
5249;774;20;48;22;4;18;.818;3600000;0
5249;869;20;0;0;0;0;.00nan;0;0
5260;354;11;63;29;4;25;.862;3600000;0
5260;674;11;0;0;0;0;.00nan;0;0
5260;734;22;59;6;0;6;1.000;1141850;0
5260;1223;22;30;26;6;20;.769;2419450;0
5399;274;18;0;0;0;0;.00nan;0;0
5399;745;15;0;0;0;0;.00nan;0;0
5399;748;18;86;37;3;34;.919;3600000;0
5399;890;15;85;46;4;42;.913;3567350;0
6114;127;16;88;39;3;36;.923;3600000;0
6114;801;9;0;0;0;0;.00nan;0;0
6114;983;16;0;0;0;0;.00nan;0;0
6114;999;9;68;34;4;30;.882;3584600;0
5269;780;3;0;0;0;0;.00nan;0;0
5269;978;7;0;0;0;0;.00nan;0;0
