League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-10-13;22;1;21;4;Regular Season;1;0;0;5194
0;2024-10-14;9;4;4;2;Regular Season;1;0;0;5213
0;2024-10-14;22;2;15;1;Regular Season;1;1;0;5231
0;2024-10-14;11;4;0;3;Regular Season;1;1;1;5239
0;2024-10-14;12;2;27;5;Regular Season;1;0;0;5220
0;2024-10-14;6;6;29;1;Regular Season;1;0;0;5275
0;2024-10-14;18;1;10;0;Regular Season;1;1;1;5254
0;2024-10-14;26;8;19;6;Regular Season;1;0;0;5256
0;2024-10-15;18;5;8;2;Regular Season;1;0;0;5365
0;2024-10-15;26;6;0;3;Regular Season;1;0;0;5344
0;2024-10-15;4;7;1;1;Regular Season;1;0;0;5205
0;2024-10-15;25;4;19;5;Regular Season;1;0;0;5296
0;2024-10-15;17;6;15;4;Regular Season;1;0;0;5358
0;2024-10-15;9;4;10;1;Regular Season;1;0;0;5221
0;2024-10-15;11;1;20;7;Regular Season;1;0;0;5263
0;2024-10-15;27;2;16;1;Regular Season;1;0;0;5204
0;2024-10-15;21;2;3;1;Regular Season;1;0;0;5232
0;2024-10-16;29;3;12;2;Regular Season;1;1;0;5238
0;2024-10-16;7;5;21;4;Regular Season;1;0;0;6126
0;2024-10-17;6;1;1;5;Regular Season;1;0;0;5226
0;2024-10-17;12;3;17;1;Regular Season;1;0;0;5248
0;2024-10-17;20;6;3;1;Regular Season;1;0;0;5266
0;2024-10-17;10;4;25;2;Regular Season;1;0;0;5225
0;2024-10-17;7;6;26;4;Regular Season;1;0;0;5524
0;2024-10-17;4;6;31;5;Regular Season;1;0;0;5216
0;2024-10-17;29;4;11;5;Regular Season;1;1;1;5270
0;2024-10-17;22;4;16;5;Regular Season;1;1;0;5242
0;2024-10-17;18;9;15;8;Regular Season;1;0;0;5380
0;2024-10-18;9;8;11;3;Regular Season;1;0;0;6154
0;2024-10-18;8;2;16;4;Regular Season;1;0;0;5246
0;2024-10-18;20;3;17;5;Regular Season;1;0;0;5264
0;2024-10-18;6;5;21;2;Regular Season;1;0;0;5235
0;2024-10-18;22;3;3;4;Regular Season;1;0;0;5245
0;2024-10-19;7;4;25;5;Regular Season;1;1;1;5386
0;2024-10-19;31;3;19;5;Regular Season;1;0;0;5223
0;2024-10-19;21;4;1;5;Regular Season;1;0;0;5230
0;2024-10-19;27;6;8;3;Regular Season;1;0;0;5297
0;2024-10-19;10;7;26;1;Regular Season;1;0;0;5812
0;2024-10-19;18;7;12;4;Regular Season;1;0;0;6145
0;2024-10-20;9;3;31;4;Regular Season;1;0;0;5229
0;2024-10-20;7;4;0;5;Regular Season;1;0;0;5763
0;2024-10-21;18;3;17;7;Regular Season;1;0;0;5403
0;2024-10-21;1;3;4;4;Regular Season;1;0;0;5279
0;2024-10-21;12;4;29;2;Regular Season;1;0;0;5276
0;2024-10-21;22;6;21;2;Regular Season;1;0;0;5241
0;2024-10-21;16;2;9;1;Regular Season;1;0;0;5273
0;2024-10-21;20;1;26;4;Regular Season;1;0;0;6146
0;2024-10-21;27;5;15;2;Regular Season;1;0;0;5320
0;2024-10-22;15;6;4;3;Regular Season;1;0;0;5371
0;2024-10-22;19;3;18;6;Regular Season;1;0;0;5308
0;2024-10-22;29;2;22;5;Regular Season;1;0;0;5258
0;2024-10-22;1;5;16;4;Regular Season;1;1;0;5257
0;2024-10-22;3;5;10;4;Regular Season;1;0;0;5265
0;2024-10-22;25;9;8;6;Regular Season;1;0;0;5305
0;2024-10-22;21;3;20;4;Regular Season;1;0;0;5243
0;2024-10-22;6;1;12;0;Regular Season;1;0;0;5272
0;2024-10-22;0;2;27;6;Regular Season;1;0;0;5359
0;2024-10-23;3;8;11;2;Regular Season;1;0;0;5268
0;2024-10-23;0;4;9;2;Regular Season;1;0;0;5295
0;2024-10-23;25;3;10;0;Regular Season;1;0;0;5290
0;2024-10-24;20;1;31;4;Regular Season;1;0;0;5244
0;2024-10-24;27;2;26;5;Regular Season;1;0;0;5304
0;2024-10-24;12;6;29;3;Regular Season;1;0;0;5262
0;2024-10-24;19;5;7;1;Regular Season;1;0;0;5300
0;2024-10-24;17;7;18;5;Regular Season;1;0;0;6164
0;2024-10-24;4;0;1;8;Regular Season;1;0;0;6095
0;2024-10-24;15;5;22;4;Regular Season;1;0;0;6108
0;2024-10-24;16;7;8;3;Regular Season;1;0;0;5267
0;2024-10-25;11;6;22;4;Regular Season;1;0;0;5260
0;2024-10-25;20;7;6;4;Regular Season;1;0;0;5249
0;2024-10-25;4;1;26;4;Regular Season;1;0;0;5479
0;2024-10-25;9;5;1;2;Regular Season;1;0;0;5291
0;2024-10-25;31;5;25;9;Regular Season;1;0;0;5252
0;2024-10-25;12;3;17;4;Regular Season;1;0;0;6160
0;2024-10-26;7;0;3;4;Regular Season;1;0;0;5269
0;2024-10-26;15;3;18;4;Regular Season;1;0;0;5399
0;2024-10-26;10;4;6;2;Regular Season;1;0;0;5286
0;2024-10-26;16;5;9;3;Regular Season;1;0;0;6114
0;2024-10-26;19;5;11;2;Regular Season;1;0;0;5289
0;2024-10-26;0;4;8;6;Regular Season;1;0;0;5436
0;2024-10-27;31;5;21;6;Regular Season;1;1;0;5274
0;2024-10-27;7;3;26;1;Regular Season;1;0;0;5348
0;2024-10-28;22;3;31;6;Regular Season;1;0;0;5271
0;2024-10-28;1;8;6;4;Regular Season;1;0;0;5293
0;2024-10-28;21;3;12;10;Regular Season;1;0;0;5278
0;2024-10-28;11;4;4;5;Regular Season;1;0;0;5302
0;2024-10-28;16;5;19;6;Regular Season;1;1;1;5280
0;2024-10-28;26;4;20;1;Regular Season;1;0;0;5282
0;2024-10-28;29;2;17;5;Regular Season;1;0;0;5294
0;2024-10-28;8;4;9;2;Regular Season;1;0;0;5411
0;2024-10-29;11;9;25;3;Regular Season;1;0;0;5316
0;2024-10-29;10;0;20;5;Regular Season;1;0;0;5259
0;2024-10-29;17;3;9;2;Regular Season;1;0;0;6151
0;2024-10-29;3;4;18;5;Regular Season;1;1;0;5329
0;2024-10-29;1;8;15;1;Regular Season;1;0;0;5315
0;2024-10-29;4;2;7;3;Regular Season;1;1;0;5678
0;2024-10-29;22;2;27;5;Regular Season;1;0;0;5277
0;2024-10-30;29;3;0;0;Regular Season;1;0;0;5285
0;2024-10-31;6;2;20;6;Regular Season;1;0;0;5284
0;2024-10-31;19;1;29;4;Regular Season;1;0;0;5288
0;2024-10-31;8;4;21;5;Regular Season;1;1;0;5281
0;2024-10-31;11;3;22;6;Regular Season;1;0;0;5301
0;2024-10-31;27;0;12;4;Regular Season;1;0;0;5283
0;2024-10-31;10;3;3;2;Regular Season;1;0;0;5328
0;2024-10-31;7;2;16;1;Regular Season;1;0;0;5312
0;2024-10-31;17;2;1;3;Regular Season;1;0;0;5351
0;2024-10-31;15;3;9;4;Regular Season;1;1;0;5410
0;2024-10-31;18;4;25;2;Regular Season;1;0;0;5388
0;2024-11-1;27;3;15;4;Regular Season;1;1;0;5448
0;2024-11-1;22;2;4;3;Regular Season;1;0;0;6149
0;2024-11-1;12;0;31;1;Regular Season;1;0;0;5356
0;2024-11-1;21;5;0;6;Regular Season;1;1;0;5313
0;2024-11-1;18;6;9;3;Regular Season;1;0;0;5382
0;2024-11-1;17;6;26;5;Regular Season;1;1;0;5490
0;2024-11-1;19;4;10;1;Regular Season;1;0;0;5298
0;2024-11-1;6;8;25;3;Regular Season;1;0;0;5324
0;2024-11-2;31;4;7;6;Regular Season;1;0;0;5355
0;2024-11-2;16;5;8;2;Regular Season;1;0;0;5339
0;2024-11-2;0;1;3;5;Regular Season;1;0;0;5327
0;2024-11-3;1;2;18;3;Regular Season;1;0;0;5554
0;2024-11-3;3;6;27;4;Regular Season;1;0;0;6068
0;2024-11-3;4;4;8;3;Regular Season;1;1;0;6135
0;2024-11-3;26;3;25;4;Regular Season;1;1;1;6134
0;2024-11-3;7;2;12;4;Regular Season;1;0;0;6103
0;2024-11-4;16;4;25;2;Regular Season;1;0;0;5332
0;2024-11-4;6;2;15;3;Regular Season;1;1;0;5330
0;2024-11-4;12;1;18;6;Regular Season;1;0;0;5442
0;2024-11-4;19;3;31;4;Regular Season;1;0;0;6132
0;2024-11-4;27;6;11;3;Regular Season;1;0;0;5336
0;2024-11-5;15;0;17;2;Regular Season;1;0;0;6155
0;2024-11-5;3;4;7;1;Regular Season;1;0;0;5372
0;2024-11-5;21;6;29;2;Regular Season;1;0;0;5306
0;2024-11-5;31;2;19;4;Regular Season;1;0;0;5318
0;2024-11-5;16;8;10;5;Regular Season;1;0;0;5333
0;2024-11-5;1;7;9;4;Regular Season;1;0;0;5379
0;2024-11-5;20;4;6;3;Regular Season;1;1;0;5292
0;2024-11-5;22;4;4;3;Regular Season;1;0;0;5310
0;2024-11-5;11;4;8;6;Regular Season;1;0;0;5338
0;2024-11-6;26;1;25;9;Regular Season;1;0;0;6161
0;2024-11-7;0;6;21;1;Regular Season;1;0;0;5349
0;2024-11-7;7;4;31;3;Regular Season;1;1;1;5412
0;2024-11-7;22;8;29;4;Regular Season;1;0;0;5307
0;2024-11-7;18;4;3;2;Regular Season;1;0;0;5452
0;2024-11-7;16;6;8;5;Regular Season;1;0;0;5353
0;2024-11-7;25;6;26;3;Regular Season;1;0;0;5408
0;2024-11-7;10;1;9;3;Regular Season;1;0;0;5323
