Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
5216;2;403;5;;;4;ES;4
5216;2;483;742;1246;506;31;ES;2
5216;2;630;1064;;;31;ES;4
5216;2;928;1455;1108;5;4;ES;4
5216;3;366;987;358;141;4;ES;4
5216;3;838;57;;;31;ES;4
5216;3;1021;141;946;985;4;ES;2
5216;3;1198;987;358;1283;4;ES;2
5270;1;526;302;156;1157;29;ES;2
5270;2;33;1055;163;914;11;ES;1
5270;2;442;654;586;1059;11;ES;1
5270;2;454;971;586;654;11;ES;3
5270;2;504;3;1575;17;29;ES;2
5270;3;146;156;302;445;29;ES;3
5270;3;417;115;1317;1055;11;ES;4
5270;3;1132;441;705;811;29;ES;1
5380;1;391;1036;910;419;15;ES;3
5380;1;628;341;613;56;18;ES;3
5380;1;739;341;633;1320;18;ES;3
5380;1;849;1385;1293;1808;15;ES;4
5380;1;1117;836;1588;1385;15;ES;1
5380;2;283;685;448;1355;18;ES;3
5380;2;329;949;661;910;15;ES;3
5380;2;339;594;341;1320;18;ES;4
5380;2;362;341;633;706;18;ES;1
5380;2;482;1588;419;871;15;ES;3
5380;2;700;613;56;;18;PP;4
5380;2;731;706;373;633;18;ES;2
5380;3;329;871;848;721;15;ES;2
5380;3;586;1036;848;648;15;PP;3
5380;3;632;871;661;;15;PP;3
5380;3;711;613;373;216;18;ES;2
5380;3;724;685;27;613;18;ES;4
5242;1;1187;996;41;857;22;PP;3
5242;2;4;38;379;427;22;ES;2
5242;2;212;867;71;1213;16;ES;3
5242;2;392;832;566;294;16;ES;2
5242;2;894;139;953;1032;16;ES;3
5242;2;1057;71;1213;566;16;ES;2
5242;2;1077;870;857;996;22;ES;1
5242;3;656;379;34;284;22;ES;3
5242;OT1;230;867;953;71;16;ES;4
5266;1;117;1852;553;1075;20;PP;4
5266;1;139;286;53;974;20;ES;2
5266;1;519;414;827;901;20;ES;1
5266;2;397;112;414;827;20;ES;3
5266;2;1035;957;901;414;20;ES;2
5266;3;345;693;651;872;3;PP;3
5266;3;366;215;1075;957;20;ES;2
5226;1;264;1083;1019;61;1;ES;3
5226;1;995;977;297;440;1;ES;3
5226;2;599;597;859;707;6;ES;2
5226;2;864;1185;88;873;1;ES;1
5226;3;369;430;1019;884;1;ES;3
5226;3;814;873;884;888;1;PP;3
5524;1;423;221;1112;214;26;ES;3
5524;1;498;754;1860;1577;7;ES;2
5524;1;604;225;752;1280;26;PP;3
5524;1;833;225;752;217;26;ES;3
5524;2;388;1343;765;23;7;ES;2
5524;2;500;1753;1063;875;7;ES;1
5524;3;432;765;1775;;7;ES;1
5524;3;541;1400;875;1054;7;ES;2
5524;3;580;915;;;26;ES;4
5524;3;1197;765;1685;1404;7;ES, ENG;1
5225;1;129;1819;1130;63;10;PP;2
5225;2;496;717;802;1076;25;ES;3
5225;2;527;907;627;611;10;ES;2
5225;2;736;26;802;726;25;ES;4
5225;3;953;907;611;375;10;ES;3
