PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
425;2024;20;0;21;3;2;2;2;0;0;0;0;57;0;25;4;1;22;11;2;8;9541;89;435;0;0
427;2024;22;0;22;5;9;12;2;1;0;0;0;63;1;65;0;0;34;3;22;36;24469;807;1155;0;0
430;2024;1;0;21;6;9;4;3;0;0;0;0;62;1;26;65;19;34;17;19;12;18754;208;3203;0;0
433;2024;17;0;21;4;8;4;14;1;0;0;0;65;1;62;0;0;29;7;16;23;22400;1220;886;0;0
435;2024;46;1;17;1;4;10;4;0;0;0;0;64;0;33;0;0;20;5;8;30;17447;935;1976;0;0
436;2024;50;1;16;4;5;4;4;0;0;0;0;63;1;29;71;30;17;13;6;16;13613;316;2182;0;0
438;2024;6;0;19;4;11;4;2;1;3;1;0;72;1;29;11;8;16;16;11;2;16985;2662;393;0;0
440;2024;1;0;21;2;8;8;11;0;0;0;0;65;1;31;0;0;39;7;18;25;22408;79;3516;0;0
441;2024;29;0;18;1;6;12;-8;0;1;0;0;61;0;35;0;0;30;3;12;30;20947;756;2818;0;0
443;2024;19;0;20;1;10;4;-4;0;2;0;0;62;0;34;0;0;24;4;14;59;23391;561;1154;0;0
444;2024;42;1;10;0;3;4;3;0;0;0;0;68;0;17;0;0;8;3;7;22;9649;655;815;0;0
445;2024;29;0;18;4;11;12;-9;1;7;0;0;71;0;45;11;5;34;14;8;4;15393;3719;0;0;0
446;2024;21;0;20;5;14;10;-4;1;6;0;0;77;0;46;5;2;40;14;19;7;19260;3981;2257;0;0
448;2024;18;0;21;2;4;4;-4;0;0;0;0;60;0;24;238;98;18;13;19;6;18389;1189;848;0;0
452;2024;6;0;19;1;6;2;3;0;0;0;0;55;0;23;0;0;13;3;6;21;16895;52;730;0;0
453;2024;57;1;8;2;2;6;-4;0;1;0;0;69;1;28;0;0;14;3;3;9;6536;2548;630;0;0
457;2024;17;0;21;0;11;8;12;0;0;0;0;59;0;35;0;0;13;4;6;33;18423;67;1325;0;0
458;2024;50;1;6;0;0;0;-5;0;0;0;0;56;0;11;0;0;1;3;3;3;5681;508;455;0;0
462;2024;8;0;20;3;4;6;-4;1;0;0;0;59;0;26;157;88;9;10;13;2;12826;1643;120;0;0
464;2024;8;0;20;7;6;6;-3;0;1;0;0;58;1;53;17;5;27;21;14;12;18380;591;3030;0;0
466;2024;45;1;12;2;3;6;-1;0;0;0;0;65;1;11;0;0;10;3;3;11;11624;244;2160;0;0
474;2024;41;1;18;4;8;27;-6;1;3;0;0;67;1;34;100;40;25;14;11;7;15531;4717;3200;1;0
478;2024;39;1;12;4;5;6;-5;4;2;0;0;60;1;23;12;3;11;8;2;2;8033;3712;46;0;0
479;2024;63;1;19;5;2;35;-6;1;1;0;0;59;1;28;43;15;18;5;4;7;14508;3234;589;0;0
484;2024;49;1;19;4;10;6;-2;1;7;0;0;65;0;32;249;125;18;6;8;4;13069;4148;62;0;0
486;2024;60;1;9;0;5;2;8;0;1;0;0;65;0;14;0;0;8;2;9;17;8714;472;909;0;0
487;2024;31;0;19;2;5;0;-3;0;0;0;1;57;0;54;0;0;25;3;17;28;22046;26;1002;0;0
